"";"X_id";"algorithm";"edges";"graphRepresentation";"graphType";"instance";"machine";"nodes";"runtime";"threads";"timestamp"
"96";97;"paraBitset";79945;"vector";"barabasi";"008k.edges";"orac";8000;0,032393;12;"2018-08-30 09:10:32"
"97";98;"paraBitset";9945;"vector";"barabasi";"001k.edges";"orac";1000;0,004252;8;"2018-08-30 09:10:32"
"98";98;"paraBitset";9945;"vector";"barabasi";"001k.edges";"orac";1000;0,004139;4;"2018-08-30 09:10:32"
"99";99;"paraBitset";19945;"vector";"barabasi";"002k.edges";"orac";2000;0,002625;8;"2018-08-30 09:10:32"
"100";99;"paraBitset";39945;"vector";"barabasi";"004k.edges";"orac";4000;0,028932;1;"2018-08-30 09:10:32"
"101";100;"paraBitset";19945;"vector";"barabasi";"002k.edges";"orac";2000;0,00338;4;"2018-08-30 09:10:32"
"102";101;"paraBitset";39945;"vector";"barabasi";"004k.edges";"orac";4000;0,010944;8;"2018-08-30 09:10:32"
"103";102;"paraBitset";39945;"vector";"barabasi";"004k.edges";"orac";4000;0,01459;4;"2018-08-30 09:10:32"
"104";103;"paraBitset";79945;"vector";"barabasi";"008k.edges";"orac";8000;0,038311;8;"2018-08-30 09:10:32"
"105";104;"paraBitset";99945;"vector";"barabasi";"010k.edges";"orac";10000;0,050273;12;"2018-08-30 09:10:32"
"106";104;"paraBitset";79945;"vector";"barabasi";"008k.edges";"orac";8000;0,100474;1;"2018-08-30 09:10:32"
"107";105;"paraBitset";79945;"vector";"barabasi";"008k.edges";"orac";8000;0,050606;4;"2018-08-30 09:10:32"
"108";106;"paraBitset";99945;"vector";"barabasi";"010k.edges";"orac";10000;0,05801;8;"2018-08-30 09:10:33"
"109";107;"paraBitset";99945;"vector";"barabasi";"010k.edges";"orac";10000;0,078655;4;"2018-08-30 09:10:33"
"110";108;"paraBitset";99945;"vector";"barabasi";"010k.edges";"orac";10000;0,16115;1;"2018-08-30 09:10:33"
"111";109;"paraBitset";199945;"vector";"barabasi";"020k.edges";"orac";20000;0,234561;12;"2018-08-30 09:10:33"
"112";110;"paraBitset";199945;"vector";"barabasi";"020k.edges";"orac";20000;0,27209;8;"2018-08-30 09:10:33"
"113";111;"paraBitset";199945;"vector";"barabasi";"020k.edges";"orac";20000;0,368264;4;"2018-08-30 09:10:33"
"114";112;"paraBitset";199945;"vector";"barabasi";"020k.edges";"orac";20000;0,714334;1;"2018-08-30 09:10:33"
"115";113;"paraBitset";299945;"vector";"barabasi";"030k.edges";"orac";30000;0,575332;12;"2018-08-30 09:10:34"
